City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cururupu,-1.8283,-44.8683,28.12,69,61,2.33,BR,1737489253
83,butler,39.4501,-84.5666,-11.12,57,40,7.2,US,1737489254
84,grand falls-windsor,48.9332,-55.6649,-8.61,76,82,3.13,CA,1737489255
85,wailua homesteads,22.0669,-159.378,21.44,93,100,2.57,US,1737489256
86,riacho de santana,-13.6092,-42.9389,29.53,59,21,2.61,BR,1737489257
87,jinchang,38.4953,102.1739,-2.41,40,5,0.63,CN,1737489258
88,papatowai,-46.5619,169.4708,15.57,66,0,2.08,NZ,1737489260
89,lompoc,34.6391,-120.4579,19.83,49,20,3.13,US,1737489261
90,wynyard,-41.0,145.7167,15.1,71,79,1.34,AU,1737489262
91,port mathurin,-19.6833,63.4167,26.2,79,23,6.19,MU,1737489263
92,mount pearl,47.5166,-52.7813,-4.92,80,75,12.35,CA,1737489264
93,mohr,54.3528,9.7167,0.08,97,100,4.12,DE,1737489265
94,juegang,32.3174,121.1855,5.55,83,75,3.54,CN,1737489267
95,vorkuta,67.5,64.0,-33.98,100,100,0.58,RU,1737489268
96,zielona gora,51.9355,15.5064,-2.21,45,99,1.26,PL,1737489269
97,uribia,11.7139,-72.266,33.1,38,0,10.21,CO,1737489270
98,daru,-9.0763,143.2092,26.56,87,100,1.41,PG,1737489272
99,al fqih ben calah,32.5009,-6.6906,15.38,38,3,3.03,MA,1737489273
100,lexington park,38.2668,-76.4538,-6.18,45,100,2.57,US,1737489274
101,sagua la grande,22.8067,-80.0756,29.98,50,100,4.47,CU,1737489275
102,klyuchi,52.2667,79.1667,0.46,76,100,9.63,RU,1737489276
103,kathu,7.9178,98.3332,25.9,85,78,4.89,TH,1737489277
104,machico,32.7,-16.7667,18.89,77,40,3.09,PT,1737489279
105,grabouw,-34.1515,19.0151,18.73,83,53,6.4,ZA,1737489280
106,vohenstrauss,49.6238,12.3381,-3.71,93,1,0.9,DE,1737489281
107,governador dix sept rosado,-5.4589,-37.5208,30.27,56,100,5.83,BR,1737489282
108,uturoa,-16.7333,-151.4333,27.57,69,0,6.15,PF,1737489283
109,remire-montjoly,4.9167,-52.2667,24.02,94,75,4.12,GF,1737489284
110,stanley,54.868,-1.6985,4.18,96,40,0.0,GB,1737489286
111,iskushuban,10.2837,50.23,20.07,82,0,4.93,SO,1737489287
112,nasipit,8.9692,125.2947,23.82,91,100,2.75,PH,1737489288
113,happy valley-goose bay,53.3168,-60.3315,-21.83,59,20,9.26,CA,1737489289
114,puerto ayora,-0.7393,-90.3518,26.42,88,66,2.24,EC,1737489290
115,skagen,57.7209,10.5839,4.24,93,100,3.85,DK,1737489291
116,fuling,29.7022,107.3919,12.28,82,100,1.05,CN,1737489293
117,rio grande,-32.035,-52.0986,24.17,75,18,5.46,BR,1737489294
118,santa rosalia,27.3167,-112.2833,16.42,35,24,7.92,MX,1737489295
119,alaghsas,17.0187,8.0168,22.42,19,0,7.96,NE,1737489296
120,fale old settlement,-9.3852,-171.2468,27.95,81,45,7.84,TK,1737489297
121,kodiak,57.79,-152.4072,4.73,93,100,5.14,US,1737489298
